school,region,pct_eds,spg_score,enrollment,spg_grade
Clement Elementary,Sandhills,60.3,61.0,324.0,C
Piedmont High,Southwest,31.9,78.0,1235.0,B
Sandy Ridge Elementary,North Central,71.7,63.0,459.0,C
Mount Holly Middle,Southwest,63.9,59.0,549.0,C
Pinnacle Elementary School,Piedmont Triad,66.3,62.0,147.0,C
West Hoke Middle,Sandhills,63.4,56.0,569.0,C
Pumpkin Center Primary,Southwest,47.4,67.0,290.0,C
Crown Point Elementary,Southwest,74.2,61.0,594.0,C
Town Creek Middle,Southeast,41.9,50.0,496.0,D
W B Beam Intermediate School,Southwest,65.8,54.0,200.0,D
Sharon Elementary,Southwest,61.2,76.0,237.0,B
Jessie Mae Monroe Elementary,Southeast,61.6,60.0,395.0,C
Agriculture and Science Early College,Southwest,36.2,85.0,241.0,A
Beverly Hills Elementary,Southwest,68.2,69.0,289.0,C
South Johnson Elementary,Sandhills,75.5,50.0,632.0,D
Southport Elementary,Southeast,49.4,67.0,407.0,C
North Buncombe High,Western,43.6,74.0,912.0,B
Charles England Elementary School,Piedmont Triad,76.8,59.0,339.0,C
Granville Central High,North Central,75.1,55.0,606.0,C
Polenta Elementary,North Central,45.5,64.0,1007.0,C
Northeast Elementary,Southeast,86.3,35.0,409.0,F
Billingsville Elementary,Southwest,55.1,59.0,339.0,C
Winter Park Model Elementary,Southeast,56.2,77.0,296.0,B
J N Fries Magnet School,Southwest,43.1,66.0,820.0,C
South Harnett Elementary,North Central,63.3,47.0,443.0,D
Fairview Elementary,Western,56.6,62.0,740.0,C
Bailey Elementary,North Central,76.5,55.0,502.0,C
Glenwood Elementary,North Central,19.8,84.0,431.0,B
Lucama Elementary,North Central,70.4,83.0,368.0,B
Concord High,Southwest,66.5,59.0,957.0,C
Central Elementary,Northeast,40.4,53.0,237.0,D
East Forsyth Middle School,Piedmont Triad,69.6,36.0,759.0,F
Marvin Ridge Middle,Southwest,5.0,92.0,1363.0,A
Drexel Elementary,Northwest,77.1,73.0,421.0,B
C C Griffin Middle,Southwest,56.9,56.0,964.0,C
Alma O Easom Elementary,Sandhills,44.7,73.0,263.0,B
Currituck County Middle,Northeast,44.2,54.0,358.0,D
Lakewood High,Sandhills,60.7,64.0,462.0,C
Scotland High School,Sandhills,66.0,53.0,1353.0,D
East Columbus Junior-Senior High,Sandhills,54.0,47.0,581.0,D
Williams Township,Sandhills,55.4,55.0,615.0,C
Washington Elementary,Piedmont Triad,76.6,49.0,257.0,D
ISS Virtual Academy,Southwest,13.3,62.0,136.0,C
Union Elementary,Sandhills,78.4,61.0,332.0,C
Apex Friendship High,North Central,10.0,88.0,2712.0,A
Bessemer Elementary,Piedmont Triad,79.0,44.0,458.0,D
Grimsley High,Piedmont Triad,47.0,75.0,1853.0,B
J Glenn Edwards Elementary,North Central,73.4,55.0,545.0,C
Swansboro Elementary,Southeast,34.6,71.0,671.0,B
Chicod,Northeast,37.1,81.0,931.0,B
Vanceboro-Farm Life Elementary,Southeast,63.4,51.0,442.0,D
Gaston Early College of Medical Sciences,Southwest,54.1,95.0,112.0,A
Wiley Accel/Enrichment,Piedmont Triad,79.1,33.0,175.0,F
Southside Ashpole Elementary,Sandhills,76.2,36.0,184.0,F
Williamsburg Elementary,Piedmont Triad,65.9,53.0,480.0,D
Carson High,Southwest,47.1,64.0,1116.0,C
Alston Ridge Middle,North Central,19.4,84.0,1504.0,B
Midway Middle,Sandhills,49.2,65.0,558.0,C
Wesley Chapel Elementary,Southwest,15.4,89.0,776.0,A
Claremont Elementary,Northwest,73.6,59.0,411.0,C
Swann Middle School,Piedmont Triad,62.6,42.0,531.0,D
Middle College at GTCC-Greensboro,Piedmont Triad,48.8,83.0,165.0,B
Sadie Saulter,Northeast,53.5,60.0,92.0,C
Bunn High,North Central,60.7,66.0,812.0,C
Silk Hope School,North Central,53.1,62.0,275.0,C
Heritage Elementary School ,Southeast,53.5,56.0,532.0,C
Southeast Raleigh High,North Central,72.6,53.0,1362.0,D
Anderson Creek Primary,North Central,62.2,47.0,522.0,D
McAlpine Elementary,Southwest,31.7,73.0,526.0,B
